Date,Open,High,Low,Close,Volume,Adj Close
2010-06-28,17,17,17,17,0,17
2010-06-29,19,25,17.54,23.89,18783276,17.54
2010-06-30,25.79,30.42,23.3,23.83,17194394,23.3
2010-07-01,25,25.92,20.27,21.96,8229863,20.27
2010-07-02,23,23.1,18.71,19.2,5141807,18.71
2010-07-06,20,20,15.83,16.11,6879296,15.83
2010-07-07,16.4,16.63,14.98,15.8,6924914,14.98
2010-07-08,16.14,17.52,15.57,17.46,7719539,15.57
2010-07-09,17.58,17.9,16.55,17.4,4058606,16.55
2010-07-12,17.95,18.07,17,17.05,2203570,17
2010-07-13,17.39,18.64,16.9,18.14,2680060,16.9
2010-07-14,17.94,20.15,17.76,19.84,4196110,17.76
2010-07-15,19.94,21.5,19,19.89,3745297,19
2010-07-16,20.7,21.3,20.05,20.64,2621210,20.05
2010-07-19,21.37,22.25,20.92,21.91,2486489,20.92
2010-07-20,21.85,21.85,20.05,20.3,1825231,20.05
2010-07-21,20.66,20.9,19.5,20.22,1253442,19.5
2010-07-22,20.5,21.25,20.37,21,962345,20.37
2010-07-23,21.19,21.56,21.06,21.29,654049,21.06
2010-07-26,21.5,21.5,20.3,20.95,922453,20.3
2010-07-27,20.91,21.18,20.26,20.55,619675,20.26
2010-07-28,20.55,20.9,20.51,20.72,467183,20.51
2010-07-29,20.77,20.88,20,20.35,615910,20
2010-07-30,20.2,20.44,19.55,19.94,426830,19.55
2010-08-02,20.5,20.97,20.33,20.92,719145,20.33
2010-08-03,21,21.95,20.82,21.95,1231023,20.82
2010-08-04,21.95,22.18,20.85,21.26,920756,20.85
2010-08-05,21.54,21.55,20.05,20.45,796380,20.05
2010-08-06,20.1,20.16,19.52,19.59,742138,19.52
2010-08-09,19.9,19.98,19.45,19.6,812656,19.45
2010-08-10,19.65,19.65,18.82,19.03,1281286,18.82
2010-08-11,18.69,18.88,17.85,17.9,797650,17.85
2010-08-12,17.8,17.9,17.39,17.6,691281,17.39
2010-08-13,18.18,18.45,17.66,18.32,634513,17.66
2010-08-16,18.45,18.8,18.26,18.78,486211,18.26
2010-08-17,18.96,19.4,18.78,19.15,447881,18.78
2010-08-18,19.59,19.59,18.6,18.77,601332,18.6
2010-08-19,18.54,19.25,18.33,18.79,579082,18.33
2010-08-20,18.65,19.11,18.51,19.1,297499,18.51
2010-08-23,19.09,20.39,19,20.13,1088029,19
2010-08-24,19.25,19.71,18.95,19.2,673074,18.95
2010-08-25,19.16,19.98,18.56,19.9,503289,18.56
2010-08-26,19.89,20.27,19.6,19.75,433736,19.6
2010-08-27,19.75,19.87,19.5,19.7,378145,19.5
2010-08-30,19.7,20.19,19.61,19.87,732731,19.61
2010-08-31,19.66,19.79,19.33,19.48,201012,19.33
2010-09-01,19.62,20.69,19.6,20.45,494885,19.6
2010-09-02,20.37,21.24,20.31,21.06,487060,20.31
2010-09-03,20.87,21.3,20.66,21.05,425956,20.66
2010-09-07,20.61,21,20.5,20.54,243335,20.5
2010-09-08,20.66,20.95,20.6,20.9,288382,20.6
2010-09-09,21,21.05,20.69,20.71,376197,20.69
2010-09-10,20.75,20.93,19.76,20.17,385689,19.76
2010-09-13,20.89,20.9,20.5,20.72,360703,20.5
2010-09-14,20.54,21.6,20.53,21.12,654629,20.53
2010-09-15,20.98,22,20.79,21.98,684558,20.79
2010-09-16,22.15,23.16,20.84,20.94,2685480,20.84
2010-09-17,21.02,21.32,19.8,20.23,1174860,19.8
2010-09-20,20.67,21.35,20.16,21.05,947475,20.16
2010-09-21,20.89,21.55,20.67,20.77,796000,20.67
2010-09-22,20.87,20.95,19.8,19.87,962816,19.8
2010-09-23,19.89,20.14,19.5,19.56,668076,19.5
2010-09-24,19.95,20.19,19.65,20.1,573187,19.65
2010-09-27,20.4,20.81,20.05,20.53,418597,20.05
2010-09-28,21.04,21.49,20.76,21.4,1214465,20.76
2010-09-29,21.19,22.03,21.13,21.98,1969457,21.13
2010-09-30,22,22.15,20.19,20.41,2196625,20.19
2010-10-01,20.69,20.75,20.31,20.6,522518,20.31
2010-10-04,20.43,21.17,20.3,20.99,643599,20.3
2010-10-05,21.15,21.28,21.01,21.12,331936,21.01
2010-10-06,21.06,21.26,20.32,20.46,313357,20.32
2010-10-07,20.57,20.64,20.34,20.43,140920,20.34
2010-10-08,20.43,20.79,20.39,20.43,266219,20.39
2010-10-11,20.44,20.7,20.07,20.24,171194,20.07
2010-10-12,20.2,20.28,20.03,20.24,243912,20.03
2010-10-13,20.64,20.85,20.36,20.54,319200,20.36
2010-10-14,21,21.03,20.4,20.75,294620,20.4
2010-10-15,20.89,20.9,20.25,20.54,283045,20.25
2010-10-18,20.52,20.64,20.22,20.23,162729,20.22
2010-10-19,20.2,20.41,20,20.05,245127,20
2010-10-20,20.16,20.69,20.04,20.65,312444,20.04
2010-10-21,20.61,20.95,20.45,20.75,417099,20.45
2010-10-22,20.68,20.93,20.55,20.72,161021,20.55
2010-10-25,20.94,20.98,20.73,20.85,118614,20.73
2010-10-26,20.8,21.87,20.51,21.36,660841,20.51
2010-10-27,21.25,21.38,20.65,21,356500,20.65
2010-10-28,21.39,21.5,20.96,21.19,224190,20.96
2010-10-29,21.14,21.85,21.05,21.84,278955,21.05
2010-11-01,21.94,22.75,21.31,21.41,455784,21.31
2010-11-02,21.68,21.88,21.05,21.25,322465,21.05
2010-11-03,21.28,22.5,21.16,21.77,374199,21.16
2010-11-04,22.6,25.33,22.15,24.9,1874801,22.15
2010-11-05,24.87,24.97,23.72,24.44,987386,23.72
2010-11-08,24.5,25,24.03,24.98,509375,24.03
2010-11-09,25,25.69,24.05,24.63,956649,24.05
2010-11-10,24.48,29.97,24.05,29.36,3061038,24.05
2010-11-11,28.6,29.1,27.33,28.04,1944794,27.33
2010-11-12,28.25,30.5,28.07,29.84,2668613,28.07
2010-11-15,30.22,32.94,30.22,30.8,2624233,30.22
2010-11-16,31,31.4,28.42,29.67,1347531,28.42
2010-11-17,30.2,30.75,28.61,29.49,749941,28.61
2010-11-18,30.67,30.74,28.92,29.89,956248,28.92
2010-11-19,30.16,31.37,8.03,30.99,1145553,8.03
2010-11-22,31.57,33.45,31.5,33.4,1529622,31.5
2010-11-23,33.29,35.68,32.19,34.57,1577970,32.19
2010-11-24,35.27,35.97,34.33,35.47,1424959,34.33
2010-11-26,35.6,36,34.75,35.32,342754,34.75
2010-11-29,35.41,35.95,33.33,34.33,1145543,33.33
2010-11-30,33.74,35.33,33.41,35.33,2222558,33.41
2010-12-01,35.87,36.42,33.45,34.35,1299175,33.45
2010-12-02,34.01,34.3,31.2,32.35,2006967,31.2
2010-12-03,32.01,32.25,30.87,31.49,1103490,30.87
2010-12-06,31.35,31.45,29.56,30.31,1274375,29.56
2010-12-07,30.49,32.4,30.05,31.56,1311548,30.05
2010-12-08,32.48,32.49,31.52,32.37,659980,31.52
2010-12-09,32.51,32.72,31.65,32.05,405983,31.65
2010-12-10,32.05,32.92,31.13,31.52,427581,31.13
2010-12-13,31.64,31.77,30.4,30.55,410331,30.4
2010-12-14,30.29,30.39,27.76,28.53,1765685,27.76
2010-12-15,28.67,29.97,28.53,29.6,742900,28.53
2010-12-16,30,30.91,29.65,30.81,790070,29.65
2010-12-17,31.34,31.54,30.71,31.36,674955,30.71
2010-12-20,31.64,32.19,31.26,31.7,523320,31.26
2010-12-21,31.8,32.69,31.71,32.26,777678,31.71
2010-12-22,32.25,32.86,31.7,32.63,833256,31.7
2010-12-23,31.26,32.48,29.92,30.09,1552525,29.92
2010-12-27,28.02,28.58,25.06,25.55,9301929,25.06
2010-12-28,25.85,26.75,25,26.41,4056270,25
2010-12-29,27.03,28.01,26.5,27.73,3319430,26.5
2010-12-30,27.7,27.9,26.38,26.5,2041067,26.38
2010-12-31,26.78,27,26.5,26.63,1211883,26.5
2011-01-03,26.84,27,25.9,26.62,1282904,25.9
2011-01-04,26.66,26.95,26.02,26.67,1189071,26.02
2011-01-05,26.48,26.9,26.19,26.83,1446869,26.19
2011-01-06,26.81,28,26.81,27.88,2061117,26.81
2011-01-07,28,28.58,27.9,28.24,1513883,27.9
2011-01-10,28.15,28.68,28.05,28.45,1342612,28.05
